old_name;new_name
Betriebsbrunnen betriebsbereit;Betriebsbrunnen
Betriebsbrunnen rückgebaut;Betriebsbrunnen
NA;Unbekannt
Betriebsbrunnen verwahrt;Betriebsbrunnen
(Brunnen ohne Angabe) ;Unbekannt
Abwehrbrunnen rückgebaut;Abwehrbrunnen
Grundwasserhaltung betriebsbereit;Grundwasserhaltung
Grundwasserhaltung rückgebaut;Grundwasserhaltung
Abwehrbrunnen betriebsbereit;Abwehrbrunnen
Betriebsbrunnen ;Betriebsbrunnen
Grundwasserhaltung verwahrt;Grundwasserhaltung
Abwehrbrunnen verwahrt;Abwehrbrunnen
Brauchwasserbrunnen betriebsbereit;Andere
Feuerlöschbrunnen ;Andere
Infiltrationsbrunnen rückgebaut;Andere
Reservebrunnen ;Andere
